frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
0,0.0,1,235.826319,6.178112,0.0,0.0,0.0,0.0
1,0.033333,1,235.760347,6.202945,0.0,0.0,0.091389,0.0
2,0.066667,1,235.509861,6.285293,0.0,0.0,0.261458,0.000139
3,0.1,1,235.084028,6.634549,0.0,0.0,0.436944,0.003333
4,0.133333,1,234.572222,7.270559,0.0,0.0,0.517083,0.004167
5,0.166667,1,233.893542,8.487498,0.0,0.0,0.713681,0.017431
6,0.2,1,233.115139,10.049783,0.0,0.0,0.790208,0.01875
7,0.233333,1,232.258403,12.047365,0.0,0.0,0.883125,0.022361
8,0.266667,1,231.272917,14.350105,0.0,0.0,1.001458,0.022569
9,0.3,1,230.285625,16.686031,0.0,0.0,1.048403,0.023819
10,0.333333,1,229.260694,19.315911,0.0,0.0,1.098264,0.026111
11,0.366667,1,228.235625,21.607576,0.0,0.0,1.091181,0.027986
12,0.4,1,227.4975,22.8308,0.0,0.0,0.862708,0.027778
13,0.433333,1,226.656875,24.293454,0.0,0.0,0.946181,0.041736
14,0.466667,1,225.866458,25.884313,0.0,0.0,1.000417,0.046042
15,0.5,1,224.929722,27.779195,0.0,0.0,1.127986,0.062639
16,0.533333,1,224.074097,29.699355,0.0,0.0,1.154375,0.058472
17,0.566667,1,223.057847,31.906485,0.0,0.0,1.291944,0.072292
18,0.6,1,222.166667,34.067386,0.0,0.0,1.351736,0.069167
19,0.633333,1,221.085,36.547623,0.0,0.0,1.507778,0.079861
20,0.666667,1,220.148333,38.894059,0.0,0.001597,1.532222,0.076319
21,0.7,1,219.029236,41.544849,0.0,0.005556,1.655208,0.080833
22,0.733333,1,218.079514,43.911548,0.0,0.008264,1.669028,0.080486
23,0.766667,1,217.115208,46.336924,0.0,0.013611,1.810278,0.082292
24,0.8,1,216.049931,48.969297,0.0,0.015139,1.948056,0.087083
25,0.833333,1,215.274236,50.933123,0.0,0.015139,1.888472,0.082639
26,0.866667,1,214.810347,51.914965,0.002014,0.014861,1.83375,0.074722
27,0.9,1,214.604931,52.14619,0.002083,0.015972,1.79,0.069514
28,0.933333,1,214.324514,52.489663,0.002083,0.016528,1.8375,0.069583
29,0.966667,1,214.125486,52.682656,0.002153,0.01625,1.854306,0.072431
30,1.0,1,213.856458,52.911828,0.001736,0.015972,1.908194,0.071806
31,1.033333,1,213.600556,53.19778,0.001806,0.016944,1.943125,0.071597
32,1.066667,1,213.290486,53.598551,0.001875,0.017431,1.977569,0.072639
33,1.1,1,213.074306,53.741089,0.002083,0.017222,1.996875,0.070208
34,1.133333,1,212.809583,53.941232,0.002222,0.017708,2.137361,0.072917
35,1.166667,1,212.562292,54.178136,0.002083,0.017986,2.197569,0.076111
36,1.2,1,212.268264,54.565762,0.002292,0.018056,2.244167,0.076458
37,1.233333,1,212.084028,54.737442,0.002153,0.018958,2.393264,0.079236
38,1.266667,1,211.837222,54.993376,0.002222,0.018403,2.483889,0.082431
39,1.3,1,211.589028,55.20138,0.001944,0.019514,2.615833,0.088056
40,1.333333,1,211.267014,55.557185,0.002292,0.01875,2.759236,0.091319
41,1.366667,1,211.038819,55.749645,0.002431,0.020903,2.904167,0.097014
42,1.4,1,210.724444,56.09001,0.002569,0.020556,3.103403,0.097986
43,1.433333,1,210.405486,56.394361,0.0025,0.021319,3.236597,0.102708
44,1.466667,1,209.984028,56.883471,0.002708,0.021319,3.373542,0.103056
45,1.5,1,209.64375,57.196919,0.0025,0.021944,3.490833,0.105903
46,1.533333,1,209.176389,57.673155,0.002292,0.021944,3.674444,0.110903
47,1.566667,1,208.705,58.0124,0.002708,0.022778,3.814167,0.115208
48,1.6,1,208.128958,58.583196,0.002917,0.024306,3.988125,0.119167
49,1.633333,1,207.642778,58.993267,0.002986,0.025417,4.079236,0.121875
50,1.666667,1,207.03125,59.621174,0.002986,0.023681,4.229444,0.125139
51,1.7,1,206.431944,60.076353,0.003125,0.025347,4.372917,0.132708
52,1.733333,1,205.721528,60.793381,0.003681,0.02625,4.501944,0.131806
53,1.766667,1,205.119931,61.204992,0.003403,0.027986,4.569375,0.136806
