frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
0,0.0,1,235.762083,6.189445,0.0,0.0,0.0,0.0
1,0.033333,1,235.712014,6.198346,0.0,0.0,0.067153,0.0
2,0.066667,1,235.462708,6.283897,0.0,0.0,0.261528,0.000139
3,0.1,1,235.03875,6.611576,0.0,0.0,0.432153,0.002708
4,0.133333,1,234.516667,7.286994,0.0,0.0,0.529028,0.006389
5,0.166667,1,233.829236,8.507779,0.0,0.0,0.703819,0.016736
6,0.2,1,233.050417,10.089459,0.0,0.0,0.792431,0.019097
7,0.233333,1,232.151667,12.220977,0.0,0.0,0.91875,0.023194
8,0.266667,1,231.171389,14.587083,0.0,0.0,1.000694,0.02375
9,0.3,1,230.144861,17.152959,0.0,0.0,1.074722,0.025694
10,0.333333,1,229.010556,19.985315,0.0,0.0,1.183889,0.030417
11,0.366667,1,228.001667,22.285608,0.0,0.0,1.094722,0.029028
12,0.4,1,227.269653,23.446727,0.0,0.0,0.840903,0.024097
13,0.433333,1,226.430625,24.87881,0.0,0.0,0.960556,0.042292
14,0.466667,1,225.618819,26.443344,0.0,0.0,1.004306,0.048403
15,0.5,1,224.693472,28.287533,0.0,0.0,1.126597,0.060694
16,0.533333,1,223.811667,30.198817,0.0,0.0,1.163333,0.059583
17,0.566667,1,222.816181,32.354188,0.0,0.0,1.285625,0.071944
18,0.6,1,221.83375,34.611005,0.0,0.0,1.396319,0.073611
19,0.633333,1,220.815486,36.972412,0.0,0.0,1.484375,0.077083
20,0.666667,1,219.836528,39.345598,0.0,0.001458,1.549653,0.0775
21,0.7,1,218.763125,41.910534,0.0,0.005556,1.642708,0.079306
22,0.733333,1,217.738542,44.405651,0.0,0.009167,1.721389,0.083819
23,0.766667,1,216.668819,46.981429,0.0,0.013264,1.859306,0.084306
24,0.8,1,215.765694,49.288625,0.0,0.015972,1.881042,0.083611
25,0.833333,1,214.881389,51.449803,0.0,0.015278,1.917222,0.083333
26,0.866667,1,214.436736,52.394137,0.002153,0.015,1.833819,0.074444
27,0.9,1,214.193681,52.685989,0.002292,0.015764,1.81125,0.069583
28,0.933333,1,213.975139,52.939613,0.001944,0.016875,1.842431,0.069653
29,0.966667,1,213.729583,53.182398,0.002569,0.016111,1.864167,0.072292
30,1.0,1,213.470625,53.387961,0.001806,0.016111,1.921181,0.072014
31,1.033333,1,213.176389,53.721107,0.001806,0.016736,1.968125,0.071806
32,1.066667,1,212.927986,54.026623,0.002014,0.017639,1.990069,0.07375
33,1.1,1,212.656736,54.237997,0.002292,0.017153,2.0025,0.070833
34,1.133333,1,212.408819,54.412546,0.002292,0.0175,2.148472,0.073333
35,1.166667,1,212.118958,54.703403,0.0025,0.017708,2.212083,0.07625
36,1.2,1,211.895694,54.980077,0.002292,0.018056,2.253264,0.076597
37,1.233333,1,211.653472,55.24333,0.002222,0.018264,2.407083,0.079514
38,1.266667,1,211.413472,55.484367,0.002569,0.018264,2.490417,0.081597
39,1.3,1,211.129653,55.722309,0.002361,0.019236,2.635764,0.087847
40,1.333333,1,210.883056,55.962932,0.002569,0.019028,2.762708,0.091597
41,1.366667,1,210.592847,56.234121,0.0025,0.020486,2.922014,0.097847
42,1.4,1,210.291181,56.551297,0.002708,0.020347,3.115556,0.098958
43,1.433333,1,209.935764,56.898403,0.002569,0.020694,3.247083,0.102292
44,1.466667,1,209.592431,57.275508,0.002708,0.020625,3.384583,0.105
45,1.5,1,209.174722,57.688011,0.002778,0.02125,3.503681,0.107222
46,1.533333,1,208.737153,58.122685,0.002361,0.021667,3.680903,0.110903
47,1.566667,1,208.219167,58.50603,0.002847,0.022222,3.819514,0.116111
48,1.6,1,207.731528,58.966235,0.002708,0.024167,3.998194,0.119375
49,1.633333,1,207.163958,59.457683,0.003264,0.025,4.097569,0.123611
50,1.666667,1,206.581319,60.047218,0.003194,0.023681,4.236944,0.125556
51,1.7,1,205.923403,60.561629,0.003472,0.024514,4.374722,0.131597
52,1.733333,1,205.305833,61.151814,0.003472,0.026528,4.524375,0.133125
53,1.766667,1,204.618681,61.662201,0.003611,0.027708,4.574097,0.135903
54,1.8,1,203.915833,62.218319,0.003472,0.027639,4.853403,0.139583
55,1.833333,1,203.146944,62.885876,0.003681,0.028125,4.994306,0.143819
56,1.866667,1,202.436042,63.448372,0.00375,0.028056,5.060208,0.145278
57,1.9,1,201.652639,64.103606,0.00375,0.029861,5.163681,0.148819
58,1.933333,1,200.85375,64.697148,0.004375,0.031736,5.315,0.154861
59,1.966667,1,199.997847,65.278443,0.004722,0.032222,5.454653,0.158542
60,2.0,1,199.207639,65.943124,0.004792,0.031111,5.525069,0.157639
61,2.033333,1,198.34,66.44703,0.004792,0.032639,5.595417,0.165208
62,2.066667,1,197.548611,67.21304,0.004583,0.034583,5.625972,0.163264
63,2.1,1,196.681806,67.829536,0.005069,0.035764,5.704028,0.167153
64,2.133333,1,195.896389,68.363017,0.005069,0.03625,5.771389,0.170139
65,2.166667,1,195.009514,68.997791,0.005208,0.036181,5.832847,0.167778
66,2.2,1,194.461806,69.394553,0.005833,0.038889,6.238958,0.193681
67,2.233333,1,194.045486,69.57051,0.006181,0.038958,6.270486,0.198194
68,2.266667,1,193.685278,69.965983,0.005972,0.038403,6.297986,0.195208
69,2.3,1,193.212083,70.365828,0.006181,0.043542,6.312639,0.197083
70,2.333333,1,192.695278,70.988333,0.006597,0.040486,6.218611,0.193611
71,2.366667,1,192.076319,71.581617,0.006806,0.043056,6.149236,0.195972
72,2.4,1,191.498819,72.04094,0.006597,0.05,6.098611,0.183611
73,2.433333,1,190.785556,72.602952,0.006944,0.043889,6.085764,0.182292
74,2.466667,1,190.036944,73.013272,0.006875,0.044167,5.920417,0.184375
75,2.5,1,189.187917,73.273901,0.007361,0.046528,5.69375,0.177153
76,2.533333,1,188.488611,73.649638,0.006111,0.054861,5.499861,0.173681
77,2.566667,1,187.732986,74.25235,0.007361,0.050625,5.381597,0.173958
78,2.6,1,187.039236,74.671741,0.007986,0.049375,5.165278,0.170903
79,2.633333,1,186.307778,74.999308,0.007986,0.047222,5.028125,0.167847
80,2.666667,1,185.741389,75.097984,0.008403,0.051736,4.833333,0.165764
81,2.7,1,185.151319,75.316002,0.008264,0.056458,4.540625,0.158611
82,2.733333,1,184.629861,75.56866,0.008333,0.055903,4.323403,0.149167
83,2.766667,1,184.113403,75.620673,0.008819,0.053958,3.886319,0.136389
84,2.8,1,183.766944,75.758027,0.008819,0.054375,3.563542,0.123542
85,2.833333,1,183.403264,75.924679,0.008889,0.053056,3.069375,0.107986
86,2.866667,1,183.132014,76.095087,0.008333,0.054167,2.731944,0.095486
87,2.9,1,182.871389,76.29519,0.008819,0.054097,2.193681,0.069653
88,2.933333,1,182.774375,76.478026,0.008472,0.055625,1.827292,0.056042
